x,y,w,h,crop_std,status,loc_err_px,score,plan_status,n_steps,optimal_steps,goal_reached
33,304,191,165,48.072,ok,0.0,1.0,ok,26,26,True
310,379,164,70,36.801,ambiguous,,1.0,ambiguous,0,0,
343,80,195,104,46.771,ok,0.0,1.0,ok,31,31,True
202,80,131,258,85.733,ok,0.0,1.0,ok,12,12,True
343,151,171,245,53.559,ok,0.0,0.9999992251396179,ok,31,31,True
244,154,60,78,75.514,ambiguous,,1.0,ambiguous,0,0,
330,377,67,104,43.561,ambiguous,,1.0,ambiguous,0,0,
171,153,136,167,98.154,ok,0.0,0.9999995231628418,ok,13,13,True
329,184,155,234,57.454,ok,0.0,0.9999982118606567,ok,36,36,True
78,13,247,170,75.633,ok,0.0,1.0,ok,7,7,True
24,356,202,74,48.2,ambiguous,,1.0,ambiguous,0,0,
206,360,218,112,39.877,ambiguous,,0.999998152256012,ambiguous,0,0,
440,437,101,63,39.388,ambiguous,,1.0,ambiguous,0,0,
179,378,165,158,41.792,ambiguous,,1.0,ambiguous,0,0,
98,66,202,149,85.166,ok,0.0,1.0,ok,3,3,True
155,244,196,126,74.178,ok,0.0,1.0,ok,26,26,True
23,235,231,252,54.147,ok,0.0,0.9999990463256836,ok,11,11,True
173,407,210,76,49.593,ambiguous,,1.0,ambiguous,0,0,
124,326,254,161,53.288,ok,0.0,0.9999997019767761,ok,27,27,True
18,45,206,117,73.784,ok,0.0,0.9999992847442627,ok,3,3,True
241,285,183,246,59.505,ok,0.0,1.0,ok,32,32,True
358,440,92,109,47.5,ambiguous,,1.0,ambiguous,0,0,
376,178,166,191,41.383,ok,0.0,0.9999993443489075,ok,39,39,True
76,446,116,67,0.0,featureless,,,featureless,0,0,
291,99,225,153,59.129,ok,0.0,1.0,ok,22,22,True
465,171,70,180,50.257,ambiguous,,1.0,ambiguous,0,0,
373,142,142,70,32.372,ok,0.0,0.9999982714653015,ok,54,54,True
325,326,243,149,49.37,ok,0.0,0.9999994039535522,ok,56,56,True
290,201,70,167,51.932,ambiguous,,1.0,ambiguous,0,0,
125,411,109,139,54.013,ambiguous,,1.0,ambiguous,0,0,
95,45,237,86,47.89,ok,0.0,0.9999974370002747,ok,11,11,True
287,276,81,244,63.34,ambiguous,,1.0,ambiguous,0,0,
137,177,192,159,93.894,ok,0.0,0.9999999403953552,ok,10,10,True
251,26,143,203,60.305,ok,0.0,0.9999991655349731,ok,20,20,True
273,300,247,86,66.388,ok,0.0,0.9999998211860657,ok,50,50,True
342,321,183,123,48.552,ok,0.0,0.9999997615814209,ok,70,70,True
53,342,249,93,42.453,ok,0.0,0.9999985694885254,ok,36,36,True
46,96,162,72,84.081,ok,0.0,0.9999995231628418,ok,3,3,True
323,105,178,224,60.872,ok,0.0,1.0,ok,23,23,True
226,155,78,204,89.668,ok,0.0,0.9999999403953552,ok,11,11,True
130,93,98,255,67.595,ok,0.0,1.0,already_visible,0,0,True
167,493,107,60,58.589,ambiguous,,1.0,ambiguous,0,0,
211,262,108,123,78.333,ok,0.0,0.9999991655349731,ok,21,21,True
69,168,156,77,83.277,ok,0.0,0.9999998807907104,already_visible,0,0,True
257,125,73,97,63.456,ambiguous,,1.0,ambiguous,0,0,
149,217,112,130,67.796,ok,0.0,1.0,ok,8,8,True
70,318,159,137,44.335,ok,0.0,1.0,ok,33,33,True
444,214,154,162,57.358,ambiguous,,1.0,ambiguous,0,0,
54,326,187,103,40.558,ok,0.0,1.0,ok,30,30,True
236,298,223,210,58.192,ok,0.0,1.0,ok,29,29,True
193,241,75,142,71.327,ok,0.0,1.0,ok,21,21,True
73,284,233,182,56.249,ok,0.0,0.9999998211860657,ok,19,19,True
98,411,172,81,49.658,ok,0.0,0.9999992847442627,ok,59,59,True
102,154,193,224,83.597,ok,0.0,0.9999997019767761,ok,4,4,True
60,178,238,258,69.682,ok,0.0,0.9999999403953552,ok,6,6,True
238,348,146,77,40.803,ok,0.0,1.0,ok,59,59,True
383,151,67,62,0.232,featureless,,,featureless,0,0,
176,402,231,125,43.515,ambiguous,,1.0,ambiguous,0,0,
202,99,155,180,87.528,ok,0.0,0.9999995231628418,ok,10,10,True
123,113,141,122,77.946,ok,0.0,0.9999998807907104,ok,1,1,True
207,25,102,235,79.299,ok,0.0,1.0,ok,5,5,True
272,155,235,84,62.579,ok,0.0,0.9999995827674866,ok,21,21,True
135,153,237,194,94.686,ok,0.0,1.0,ok,6,6,True
434,236,80,246,45.238,ok,0.0,0.9999991655349731,ok,78,78,True
111,180,175,130,88.685,ok,0.0,0.9999997615814209,ok,10,10,True
46,344,148,169,41.712,ok,0.0,1.0,ok,38,38,True
204,231,169,251,70.159,ok,0.0,0.9999990463256836,ok,24,24,True
52,81,159,141,87.79,ok,0.0,1.0,ok,8,8,True
359,82,85,236,52.714,ok,0.0,1.0,ok,41,41,True
369,102,107,63,46.775,ambiguous,,1.0,ambiguous,0,0,
455,377,68,177,55.473,ok,0.0,0.9999992847442627,ok,140,140,True
231,375,244,108,43.29,ambiguous,,1.0,ambiguous,0,0,
338,36,224,170,44.057,ok,0.0,1.0,ok,30,30,True
180,442,214,71,6.01,ambiguous,,1.0,ambiguous,0,0,
141,13,112,229,93.291,ok,0.0,1.0,already_visible,0,0,True
344,12,169,64,57.761,ambiguous,,1.0,ambiguous,0,0,
139,249,93,81,0.0,featureless,,,featureless,0,0,
62,257,114,167,44.494,ambiguous,,1.0,ambiguous,0,0,
257,145,185,219,74.015,ok,0.0,0.9999997019767761,ok,19,19,True
205,1,134,234,78.1,ok,0.0,0.9999998211860657,ok,13,13,True
59,310,124,112,43.521,ambiguous,,1.0,ambiguous,0,0,
363,148,180,95,43.945,ok,0.0,0.9999977350234985,ok,38,38,True
188,380,172,64,33.013,ambiguous,,1.0,ambiguous,0,0,
395,315,144,162,44.738,ok,0.0,0.9999982714653015,ok,66,66,True
371,128,207,214,44.964,ok,0.0,1.0,ok,26,26,True
177,304,83,233,48.61,ok,0.0,0.9999984502792358,ok,31,31,True
47,28,241,139,66.815,ok,0.0,1.0,ok,11,11,True
199,211,254,96,76.377,ambiguous,,1.0,ambiguous,0,0,
50,121,100,164,62.18,ok,0.0,1.0,ok,8,8,True
459,243,90,150,47.622,ambiguous,,1.0,ambiguous,0,0,
503,348,81,186,44.86,ambiguous,,1.0,ambiguous,0,0,
180,129,107,195,95.84,ok,0.0,1.0,already_visible,0,0,True
192,278,259,235,58.554,ok,0.0,1.0,ok,20,20,True
